"cultivo","cve_ent","entidad","cve_mun","municipio","productores","escenario_marginacion","escenario_precio","latitud","longitud","im","gm","imn"
"Frijol","20","Oaxaca","001","Abejones",6,27492.0,0.0,17.4358,-96.6082,52.0519,"Alto",0.815061
"Frijol","30","Veracruz de Ignacio de la Llave","001","Acajete",115,0.0,0.0,19.587,-97.0105,53.0622,"Medio",0.83088
"Frijol","12","Guerrero","001","Acapulco de Juárez",35,0.0,0.0,16.8619,-99.8866,56.4366,"Bajo",0.883719
"Frijol","13","Hidalgo","001","Acatlán",70,0.0,0.0,20.1458,-98.4384,53.8667,"Medio",0.843478
"Frijol","28","Tamaulipas","001","Abasolo",38,0.0,0.0,24.0608,-98.3743,56.328,"Bajo",0.882019
"Frijol","21","Puebla","001","Acajete",249,0.0,0.0,19.1049,-97.9527,54.187,"Medio",0.848494
"Frijol","13","Hidalgo","001","Acatlán",1175,0.0,0.0,20.1458,-98.4384,53.8667,"Medio",0.843478
"Frijol","21","Puebla","001","Acajete",51,0.0,0.0,19.1049,-97.9527,54.187,"Medio",0.848494
"Frijol","30","Veracruz de Ignacio de la Llave","001","Acajete",103,0.0,0.0,19.587,-97.0105,53.0622,"Medio",0.83088
"Frijol","24","San Luis Potosí","001","Ahualulco del Sonido 13",45,0.0,0.0,22.4001,-101.167,52.7831,"Medio",0.826511
"Frijol","31","Yucatán","001","Abalá",4,0.0,0.0,20.6476,-89.6809,52.0644,"Alto",0.815256
"Frijol","30","Veracruz de Ignacio de la Llave","001","Acajete",92,0.0,0.0,19.587,-97.0105,53.0622,"Medio",0.83088
"Frijol","21","Puebla","001","Acajete",514,0.0,0.0,19.1049,-97.9527,54.187,"Medio",0.848494
"Frijol","24","San Luis Potosí","001","Ahualulco del Sonido 13",194,0.0,0.0,22.4001,-101.167,52.7831,"Medio",0.826511
"Frijol","07","Chiapas","001","Acacoyagua",23,0.0,0.0,15.341,-92.6746,53.2908,"Medio",0.83446
"Frijol","13","Hidalgo","001","Acatlán",407,0.0,0.0,20.1458,-98.4384,53.8667,"Medio",0.843478
"Frijol","30","Veracruz de Ignacio de la Llave","001","Acajete",199,0.0,0.0,19.587,-97.0105,53.0622,"Medio",0.83088
"Frijol","20","Oaxaca","001","Abejones",28,126585.0,0.0,17.4358,-96.6082,52.0519,"Alto",0.815061
"Frijol","20","Oaxaca","001","Abejones",10,18918.2,0.0,17.4358,-96.6082,52.0519,"Alto",0.815061
"Frijol","27","Tabasco","001","Balancán",43,0.0,0.0,17.8004,-91.5338,53.9658,"Medio",0.84503
"Frijol","31","Yucatán","001","Abalá",42,0.0,0.0,20.6476,-89.6809,52.0644,"Alto",0.815256
"Frijol","20","Oaxaca","001","Abejones",132,0.0,0.0,17.4358,-96.6082,52.0519,"Alto",0.815061
"Frijol","20","Oaxaca","001","Abejones",125,314124.0,0.0,17.4358,-96.6082,52.0519,"Alto",0.815061
"Frijol","20","Oaxaca","001","Abejones",5,27550.0,0.0,17.4358,-96.6082,52.0519,"Alto",0.815061
"Frijol","20","Oaxaca","001","Abejones",813,3993490.0,0.0,17.4358,-96.6082,52.0519,"Alto",0.815061
"Frijol","20","Oaxaca","001","Abejones",14,23040.5,0.0,17.4358,-96.6082,52.0519,"Alto",0.815061
"Frijol","20","Oaxaca","001","Abejones",39,42812.7,0.0,17.4358,-96.6082,52.0519,"Alto",0.815061
"Frijol","20","Oaxaca","001","Abejones",208,48357.5,0.0,17.4358,-96.6082,52.0519,"Alto",0.815061
"Frijol","21","Puebla","001","Acajete",121,0.0,0.0,19.1049,-97.9527,54.187,"Medio",0.848494
"Frijol","20","Oaxaca","001","Abejones",97,187774.0,0.0,17.4358,-96.6082,52.0519,"Alto",0.815061
"Frijol","15","México","001","Acambay de Ruíz Castañeda",239,0.0,0.0,19.9562,-99.844,52.775,"Medio",0.826384
"Frijol","20","Oaxaca","001","Abejones",13,0.0,0.0,17.4358,-96.6082,52.0519,"Alto",0.815061
"Frijol","18","Nayarit","001","Acaponeta",391,0.0,0.0,22.4894,-105.36,56.1657,"Bajo",0.879477
"Frijol","07","Chiapas","001","Acacoyagua",1337,0.0,0.0,15.341,-92.6746,53.2908,"Medio",0.83446
"Frijol","31","Yucatán","001","Abalá",113,0.0,0.0,20.6476,-89.6809,52.0644,"Alto",0.815256
"Frijol","20","Oaxaca","001","Abejones",9,45675.0,0.0,17.4358,-96.6082,52.0519,"Alto",0.815061
"Frijol","20","Oaxaca","001","Abejones",51,154764.0,0.0,17.4358,-96.6082,52.0519,"Alto",0.815061
"Frijol","20","Oaxaca","001","Abejones",68,221298.0,0.0,17.4358,-96.6082,52.0519,"Alto",0.815061
"Frijol","17","Morelos","001","Amacuzac",31,0.0,0.0,18.6,-99.3695,55.5939,"Bajo",0.870522
"Frijol","20","Oaxaca","001","Abejones",287,0.0,0.0,17.4358,-96.6082,52.0519,"Alto",0.815061
"Frijol","20","Oaxaca","001","Abejones",48,0.0,0.0,17.4358,-96.6082,52.0519,"Alto",0.815061
"Frijol","21","Puebla","001","Acajete",245,0.0,0.0,19.1049,-97.9527,54.187,"Medio",0.848494
"Frijol","20","Oaxaca","001","Abejones",518,0.0,0.0,17.4358,-96.6082,52.0519,"Alto",0.815061
"Frijol","20","Oaxaca","001","Abejones",5,0.0,0.0,17.4358,-96.6082,52.0519,"Alto",0.815061
"Frijol","20","Oaxaca","001","Abejones",37,0.0,0.0,17.4358,-96.6082,52.0519,"Alto",0.815061
