cultivo,cve_ent,entidad,cve_mun,municipio,productores,escenario_precio,escenario_marginacion,latitud,longitud,im,gm
Frijol,07,Chiapas,001,Acacoyagua,15,2.1,5.1,15.341,-92.6746,53.2908,Medio
Frijol,07,Chiapas,001,Acacoyagua,164,2.1,5.1,15.341,-92.6746,53.2908,Medio
Frijol,07,Chiapas,001,Acacoyagua,1771,2.1,5.1,15.341,-92.6746,53.2908,Medio
Frijol,07,Chiapas,001,Acacoyagua,2338,2.1,5.1,15.341,-92.6746,53.2908,Medio
Frijol,07,Chiapas,001,Acacoyagua,76,2.1,5.1,15.341,-92.6746,53.2908,Medio
Frijol,07,Chiapas,001,Acacoyagua,22,2.1,5.1,15.341,-92.6746,53.2908,Medio
Frijol,07,Chiapas,001,Acacoyagua,16,2.1,5.1,15.341,-92.6746,53.2908,Medio
Frijol,07,Chiapas,001,Acacoyagua,142,2.1,5.1,15.341,-92.6746,53.2908,Medio
Frijol,07,Chiapas,001,Acacoyagua,58,2.1,5.1,15.341,-92.6746,53.2908,Medio
Frijol,07,Chiapas,001,Acacoyagua,1515,2.1,5.1,15.341,-92.6746,53.2908,Medio
Frijol,07,Chiapas,001,Acacoyagua,1815,2.1,5.1,15.341,-92.6746,53.2908,Medio
Frijol,07,Chiapas,001,Acacoyagua,1862,2.1,5.1,15.341,-92.6746,53.2908,Medio
Frijol,07,Chiapas,001,Acacoyagua,898,2.1,5.1,15.341,-92.6746,53.2908,Medio
Frijol,07,Chiapas,001,Acacoyagua,688,2.1,5.1,15.341,-92.6746,53.2908,Medio
Frijol,07,Chiapas,001,Acacoyagua,690,2.1,5.1,15.341,-92.6746,53.2908,Medio
Frijol,07,Chiapas,001,Acacoyagua,260,2.1,5.1,15.341,-92.6746,53.2908,Medio
Frijol,07,Chiapas,001,Acacoyagua,196,2.1,5.1,15.341,-92.6746,53.2908,Medio
Frijol,07,Chiapas,001,Acacoyagua,139,2.1,5.1,15.341,-92.6746,53.2908,Medio
Frijol,07,Chiapas,001,Acacoyagua,562,2.1,5.1,15.341,-92.6746,53.2908,Medio
Frijol,07,Chiapas,001,Acacoyagua,38,2.1,5.1,15.341,-92.6746,53.2908,Medio
Frijol,07,Chiapas,001,Acacoyagua,115,2.1,5.1,15.341,-92.6746,53.2908,Medio
Frijol,07,Chiapas,001,Acacoyagua,452,2.1,5.1,15.341,-92.6746,53.2908,Medio
Frijol,07,Chiapas,001,Acacoyagua,43,2.1,5.1,15.341,-92.6746,53.2908,Medio
